"species";"growth.rate";"SiteID";"Density.tree.Class";"age"
"Spruce";1,16228709913031;50;"medium";98
"Spruce";1,28458147340175;50;"medium";88
"Spruce";0,84186313615092;50;"medium";86
"Spruce";0,676950630611718;50;"high";86
"Larch";0,826874491364858;50;"low";102,5
"Larch";0,553059098065143;50;"high";87
"Larch";0,929873776882241;50;"high";86
"Larch";1,04454200922359;50;"medium";88
"Larch";0,82463515744638;50;"medium";105,5
"Beech";1,4052790108625;50;"medium";84
"Beech";1,51799086877063;50;"medium";91
"Beech";1,1669677341385;50;"medium";86
"Beech";1,48806740006028;51;"low";54
"Oak";1,18489492926052;51;"medium";48
"Oak";1,09102473314772;51;"low";59
"Oak";1,12980065342997;51;"low";31
"Larch";1,26478993854145;51;"low";38
"Larch";0,689453064377024;51;"medium";40
"Larch";1,17243114502193;51;"medium";42
"Larch";1,22800011338943;51;"low";43
"Larch";0,862006984559668;51;"low";40
"Larch";0,949491691041152;51;"medium";40
"Beech";1,36471359659137;51;"low";27
"Beech";1,20591110067761;51;"low";54
"Beech";1,18508865356029;51;"low";52
"Beech";1,30951108442428;51;"medium";44
"Beech";1,39117383198633;51;"low";56
"Oak";1,17207254197584;51;"low";54
"Oak";1,18270525440864;51;"medium";34
"Oak";1,15830431162115;51;"low";57
"Beech";1,26655165376522;52;"low";66
"Oak";0,617318797854996;52;"high";66
"Oak";0,895618479329906;52;"low";67
"Oak";0,874853786357736;52;"low";64
"Larch";1,15016398515837;52;"low";66
"Larch";0,903536537073132;52;"low";69
"Larch";0,70622904540033;52;"high";67
"Larch";0,58747395261753;52;"low";66
"Larch";0,94931875243566;52;"low";67
"Larch";1,03590741469031;52;"low";64
"Beech";1,13459053238185;52;"low";67
"Beech";1,26610171472054;52;"low";65
"Beech";0,897606702821758;52;"low";66
"Beech";1,28399034802623;52;"high";63
"Beech";0,918365241680316;52;"medium";65
"Oak";0,658212949538392;52;"low";63
"Oak";0,574453211001735;52;"low";66
"Oak";1,24303758324128;52;"low";121
"Larch";1,33170318064322;53;"medium";65
"Beech";1,22546887107732;53;"medium";64
"Beech";1,29345283088888;53;"medium";62
"Beech";1,38955976210681;53;"low";63
"Oak";1,06171744521711;53;"low";63
"Oak";0,650172034602827;53;"medium";63
"Oak";1,28450405284295;53;"medium";63
"Oak";1,21630485371042;53;"low";63
"Oak";1,29932351535729;53;"medium";61
"Oak";0,872367817686715;53;"medium";61
"Larch";1,36500138704498;53;"medium";66
"Larch";1,06968008200696;53;"medium";65
"Larch";1,2058254752327;53;"high";62
"Larch";0,955696026720421;53;"medium";64
"Larch";1,15415339730663;53;"medium";59
"Beech";0,69695517209529;53;"low";68
"Beech";1,19462716308525;53;"low";66
"Spruce";1,30245937158113;54;"medium";39
"Beech";1,23246597107272;54;"medium";41
"Beech";1,09505149270406;54;"low";40
"Beech";1,1565091517261;54;"low";44
"Oak";1,32523411374919;54;"low";50
"Oak";0,791853114611462;54;"high";42
"Oak";1,13084574865539;54;"medium";39
"Oak";1,12940484589969;54;"high";42
"Oak";1,05487215918;54;"medium";41
"Oak";1,13994772771888;54;"high";41
"Spruce";1,39258038529824;54;"medium";40
"Spruce";1,03711127010456;54;"high";39
"Spruce";0,869252984996937;54;"medium";36
"Spruce";1,19721378351608;54;"medium";36
"Spruce";1,33270873349528;54;"high";38
"Beech";1,21841749676489;54;"high";37
"Beech";1,39867730062332;54;"high";38
"Beech";1,39517377302679;54;"high";41
"Beech";0,451410952434774;55;"high";54
"Spruce";1,37813324583653;55;"low";51
"Spruce";1,29298689013856;55;"medium";54
"Spruce";1,243080270608;55;"medium";52
"Oak";1,31864518744188;55;"medium";53
"Oak";1,10914965543764;55;"low";54
"Oak";0,888115170513514;55;"high";60
"Oak";1,05658190506034;55;"medium";59
"Oak";1,41561228164191;55;"low";58
"Oak";1,02602333132537;55;"medium";53
"Beech";1,22425805439832;55;"medium";63
"Beech";1,06979339125025;55;"high";61
"Beech";1,32785255058193;55;"high";54
"Beech";1,36178056258306;55;"medium";60
"Beech";1,25001871774787;55;"medium";50
"Spruce";1,06945681717458;55;"low";55
"Spruce";0,914154147307088;55;"low";56
"Spruce";1,09912189996055;55;"low";50
"Spruce";1,12364819376814;56;"low";60
"Oak";1,11943705375739;56;"low";72
"Oak";1,02019205304907;56;"medium";56
"Oak";0,864129781283778;56;"low";68
"Beech";1,44715904002253;56;"low";63
"Beech";1,2218016243504;56;"medium";68
"Beech";1,21792257486082;56;"low";66
"Beech";1,53556040849905;56;"low";70
"Beech";1,59953248126448;56;"high";44
"Beech";1,17067626110358;56;"medium";68
"Spruce";1,68580508463093;56;"medium";58
"Spruce";1,39749003021056;56;"high";54
"Spruce";1,54508177904402;56;"high";44
"Spruce";0,910819501339711;56;"medium";61
"Spruce";0,689748804649308;56;"low";56,5
"Oak";1,04859996701853;56;"low";66
"Oak";0,959514238782983;56;"low";71
"Oak";1,02841616338943;56;"low";69
"Larch";1,04958872749383;57;"low";83
"Spruce";1,17118051302654;57;"low";56
"Spruce";0,626918105107951;57;"high";62
"Spruce";1,30698960928954;57;"low";52
"Oak";1,15483145818136;57;"low";59
"Oak";0,542853313291681;57;"low";56
"Oak";0,788303138302259;57;"low";57
"Oak";0,701706036786969;57;"medium";58
"Oak";1,04224775317634;57;"low";56
"Oak";1,24109163536809;57;"low";57
"Larch";1,02077535591593;57;"medium";57,5
"Larch";0,742124006767623;57;"medium";69
"Larch";1,24299409676642;57;"medium";73
"Larch";1,05993875434047;57;"low";60
"Larch";0,149451112107614;57;"low";71,5
"Spruce";1,16678748795314;57;"medium";59
"Spruce";1,44711143527848;57;"low";57
"Oak";1,45095121588531;58;"medium";109
"Larch";0,768816642534;58;"medium";106
"Larch";0,837599458774723;58;"medium";100
"Larch";0,819223803870402;58;"high";106
"Spruce";1,33487161410878;58;"medium";101
"Spruce";1,26415066981244;58;"medium";100
"Spruce";0,775542277461675;58;"medium";90,5
"Spruce";1,32841395090704;58;"low";93
"Spruce";1,15827822916311;58;"low";96
"Spruce";0,726377984811326;58;"high";106
"Oak";1,07046226828312;58;"medium";112
"Oak";1,39189089510325;58;"medium";109
"Oak";1,42106935806888;58;"low";149
"Oak";1,27420574781603;58;"low";150
"Oak";1,30142669750758;58;"low";111
"Larch";1,0717374543012;58;"low";100
"Larch";0,926486568512097;58;"medium";98
"Spruce";1,35367476883384;59;"medium";104
"Larch";0,865756129571647;59;"low";102
"Larch";0,64895483266689;59;"high";101
"Larch";0,60142566519742;59;"high";100
"Oak";1,2096973858787;59;"medium";100
"Oak";1,42960117351426;59;"medium";104
"Oak";1,1198218917176;59;"medium";97
"Oak";1,53278806370335;59;"medium";104
"Oak";1,23921528413213;59;"low";104
"Oak";1,43988683768719;59;"medium";97
"Spruce";0,967271821711114;59;"medium";95,5
"Spruce";0,961379597726775;59;"medium";99
"Spruce";0,955020685087724;59;"medium";98
"Spruce";0,805768070824341;59;"high";100
"Spruce";1,21037955131672;59;"low";97
"Larch";0,420635692150249;59;"low";98
"Larch";0,68129749873176;59;"medium";97,5
"Larch";0,511817912569711;59;"medium";100,5
"Oak";0,926854004547602;60;"high";24
"Larch";1,20889701213162;60;"medium";48
"Larch";0,968671202758604;60;"high";46
"Larch";0,713994985796795;60;"low";24
"Spruce";1,46075798715258;60;"medium";39
"Spruce";1,27938307604851;60;"medium";26
"Spruce";1,34525065488687;60;"medium";41
"Spruce";1,51545904901031;60;"medium";36
"Spruce";1,30648062830594;60;"high";40
"Spruce";1,54634418427373;60;"high";40
"Beech";1,51435666985309;60;"low";43
"Oak";0,98648430677291;60;"low";42
"Beech";1,65553113803077;60;"medium";40
"Beech";1,12064606063049;60;"medium";42
"Beech";1,18483039571206;60;"medium";42
"Beech";1,64902771807164;60;"low";41
"Beech";1,41541699035113;60;"medium";42
"Oak";1,25777541499714;60;"medium";45
"Oak";1,36196997469136;60;"low";41
"Oak";1,21660164387256;60;"medium";38
"Oak";1,12388369935878;60;"medium";41
"Larch";0,938942076446259;60;"medium";46
"Larch";0,857314646425607;60;"medium";43
"Larch";0,912543998036881;60;"low";48
"Larch";0,844875486477217;61;"medium";67,5
"Beech";1,27449435888442;61;"medium";49
"Beech";1,42448025756224;61;"high";47
"Beech";1,08693475251718;61;"medium";62
"Spruce";1,39903306870711;61;"medium";56
"Spruce";0,568267845580512;61;"medium";45,5
"Spruce";1,46291087687808;61;"medium";51
"Spruce";1,36996162654384;61;"medium";46
"Spruce";1,24497061891359;61;"medium";46
"Oak";0,981499570813178;61;"medium";61
"Larch";0,88007426735262;61;"low";68
"Oak";1,24312779878179;61;"low";59
"Oak";1,1886014342439;61;"medium";42
"Oak";1,41007853496852;61;"low";58
"Oak";1,04831773430185;61;"low";62
"Oak";1,21203217654573;61;"low";42
"Larch";0,988543577532781;61;"medium";55
"Larch";0,573988950971559;61;"low";60,5
"Larch";1,25390118859343;61;"low";58
"Larch";1,24024510722452;61;"low";67
"Beech";1,28516194252708;61;"low";50
"Beech";1,44530753137838;61;"medium";61
"Beech";1,18374775945349;61;"medium";55
"Larch";1,14196168533899;62;"medium";72
"Spruce";1,15385075804673;62;"high";68
"Spruce";1,0394803191901;62;"high";71
"Spruce";0,839718379744866;62;"medium";68
"Beech";1,18217784896867;62;"high";66
"Beech";0,817807385049788;62;"high";66
"Beech";1,51238688860476;62;"high";62
"Beech";1,6389758498673;62;"high";69
"Beech";1,55526179238965;62;"high";66
"Beech";1,2778996380755;62;"high";61
"Oak";0,802171155632049;62;"high";61
"Larch";1,20180009924389;62;"high";64
"Oak";1,32203235551039;62;"high";62
"Oak";0,854551494301926;62;"high";63
"Oak";1,04984277039944;62;"high";58
"Oak";0,343087220605462;62;"high";67
"Oak";0,798995115995131;62;"high";71
"Larch";0,86821500356844;62;"high";67
"Larch";1,62911176257636;62;"low";61
"Larch";0,930322367346682;62;"high";69
"Larch";0,746024490088494;62;"high";69
"Spruce";0,119428288821524;62;"medium";65,5
"Spruce";0,838854258653932;62;"high";64
"Spruce";0,781666277782236;62;"high";63
